ID,Nom,Latitude,Longitude,Altitude,Region
7005,ABBEVILLE,50.136,1.834,69,HAUTS-DE-FRANCE
7015,LILLE-LESQUIN,50.57,3.0975,47,HAUTS-DE-FRANCE
7020,PTE DE LA HAGUE,49.725167,-1.939833,6,NORMANDIE
7027,CAEN-CARPIQUET,49.18,-0.456167,67,NORMANDIE
7037,ROUEN-BOOS,49.383,1.181667,151,NORMANDIE
7072,REIMS-PRUNAY,49.209667,4.155333,95,GRAND EST
7110,BREST-GUIPAVAS,48.444167,-4.412,94,BRETAGNE
7117,PLOUMANAC'H,48.825833,-3.473167,55,BRETAGNE
7130,RENNES-ST JACQUES,48.068833,-1.734,36,BRETAGNE
7139,ALENCON,48.4455,0.110167,143,NORMANDIE
7149,ORLY,48.716833,2.384333,89,ILE-DE-FRANCE
7168,TROYES-BARBEREY,48.324667,4.02,112,GRAND EST
7181,NANCY-OCHEY,48.581,5.959833,336,GRAND EST
7190,STRASBOURG-ENTZHEIM,48.5495,7.640333,150,GRAND EST
7207,BELLE ILE-LE TALUT,47.294333,-3.218333,34,BRETAGNE
7222,NANTES-BOUGUENAIS,47.15,-1.608833,26,PAYS DE LA LOIRE
7240,TOURS,47.4445,0.727333,108,CENTRE-VAL DE LOIRE
7255,BOURGES,47.059167,2.359833,161,CENTRE-VAL DE LOIRE
7280,DIJON-LONGVIC,47.267833,5.088333,219,BOURGOGNE-FRANCHE-COMTÉ
7299,BALE-MULHOUSE,47.614333,7.51,263,GRAND EST
7314,PTE DE CHASSIRON,46.046833,-1.4115,11,NOUVELLE-AQUITAINE
7335,POITIERS-BIARD,46.593833,0.314333,123,NOUVELLE-AQUITAINE
7434,LIMOGES-BELLEGARDE,45.861167,1.175,402,NOUVELLE-AQUITAINE
7460,CLERMONT-FD,45.786833,3.149333,331,AUVERGNE-RHONE-ALPES
7471,LE PUY-LOUDES,45.0745,3.764,833,AUVERGNE-RHONE-ALPES
7481,LYON-ST EXUPERY,45.7265,5.077833,235,AUVERGNE-RHONE-ALPES
7510,BORDEAUX-MERIGNAC,44.830667,-0.691333,47,NOUVELLE-AQUITAINE
7535,GOURDON,44.745,1.396667,260,OCCITANIE
7558,MILLAU,44.1185,3.0195,712,OCCITANIE
7577,MONTELIMAR,44.581167,4.733,73,AUVERGNE-RHONE-ALPES
7591,EMBRUN,44.565667,6.502333,871,PROVENCE-ALPES-COTE D'AZUR
7607,MONT-DE-MARSAN,43.909833,-0.500167,59,NOUVELLE-AQUITAINE
7621,TARBES-OSSUN,43.188,0,360,OCCITANIE
7627,ST GIRONS,43.005333,1.106833,414,OCCITANIE
7630,TOULOUSE-BLAGNAC,43.621,1.378833,151,OCCITANIE
7643,MONTPELLIER,43.577,3.963167,2,OCCITANIE
7650,MARIGNANE,43.437667,5.216,9,PROVENCE-ALPES-COTE D'AZUR
7661,CAP CEPET,43.079333,5.940833,115,PROVENCE-ALPES-COTE D'AZUR
7690,NICE,43.648833,7.209,2,PROVENCE-ALPES-COTE D'AZUR
7747,PERPIGNAN,42.737167,2.872833,42,OCCITANIE
7761,AJACCIO,41.918,8.792667,5,CORSE
7790,BASTIA,42.540667,9.485167,10,CORSE
61968,GLORIEUSES,-11.582667,47.289667,3,ILES ÉPARSES
61970,JUAN DE NOVA,-17.054667,42.712,9,ILES ÉPARSES
61972,EUROPA,-22.344167,40.340667,6,ILES ÉPARSES
61976,TROMELIN,-15.887667,54.520667,7,ILES ÉPARSES
61980,GILLOT-AEROPORT,-20.8925,55.528667,8,LA RÉUNION
61996,NOUVELLE AMSTERDAM,-37.795167,77.569167,27,OUTRE-MER
61997,CROZET,-46.4325,51.856667,146, ILES CROZET
61998,KERGUELEN,-49.352333,70.243333,29,ILES KERGUELEN
67005,PAMANDZI,-12.8055,45.282833,7,OUTRE-MER
71805,ST-PIERRE,46.766333,-56.179167,21,ILE SAINT-PIERRE
78890,LA DESIRADE METEO,16.335,-61.004,27,GUADELOUPE
78894,ST-BARTHELEMY METEO,17.9015,-62.852167,44,ILE DE SAINT-BARTHÉLEMY
78897,LE RAIZET AERO,16.264,-61.516333,11,GUADELOUPE
78922,TRINITE-CARAVEL,14.7745,-60.875333,26,MARTINIQUE
78925,LAMENTIN-AERO,14.595333,-60.995667,3,MARTINIQUE
81401,SAINT LAURENT,5.4855,-54.031667,5,GUYANE
81405,CAYENNE-MATOURY,4.822333,-52.365333,4,GUYANE
81408,SAINT GEORGES,3.890667,-51.804667,6,GUYANE
81415,MARIPASOULA,3.640167,-54.028333,106,GUYANE
89642,DUMONT D'URVILLE,-66.663167,140.001,43,ILE DES PÉTRELS
